site,elevation,SWLI,salinity
LC0,4.28,338.5117493,1
LC100,3.666,298.4334204,13
LC110,3.666,298.4334204,11
LC120,3.736,303.002611,16
LC130,3.618,295.3002611,18
LC140,3.691,300.0652742,17
LC150,3.618,295.3002611,19
LC160,3.609,294.7127937,19
LC170,3.628,295.9530026,20
LC180,3.647,297.1932115,22
LC190,3.656,297.7806789,23
LC20,4.137,329.1775457,0
LC200,3.478,286.1618799,24
LC210,3.656,297.7806789,24
LC220,3.447,284.1383812,23
LC230,3.447,284.1383812,28
LC240,2.685,234.3994778,28
LC250,2.583,227.7415144,28
LC260,2.519,223.5639687,28
LC30,4.003,320.4308094,0
LC40,3.813,308.0287206,0
LC50,3.8,307.1801567,0
LC60,3.746,303.6553525,0
LC70,3.737,303.0678851,0
LC80,3.683,299.5430809,12
LC90,3.654,297.6501305,10
NS10,3.713,349.122807,33
NS130,3.043,295.6937799,28
NS50,2.468,249.8405104,26
NS90,2.384,243.1419458,31.5
LSI110,4.635,313.7170522,32
LSII20,4.627,313.2867133,2
LSI140,3.252,239.3222162,30
LSI170,4.352,298.4938139,22
LSII80,4.212,290.9628833,15
LSI222,4.262,293.6525013,25
BM6M,4.423,321.4452214,23
BMTC13,2.835,228.9044289,27
BMTC6M,2.757,224.3589744,27
DB07828_1,2.378,325.9815242,NA
DB07828_2,2.413,330.0230947,NA
DB07828_3,2.378,325.9815242,NA
DB07828_4,2.433,332.3325635,NA
DB07828_5,2.478,337.5288684,NA
DB07828_6,2.483,338.1062356,NA
DB07828_7,2.508,340.9930716,NA
DB07828_8,2.603,351.9630485,NA
DB07828_9,2.638,356.0046189,NA
DB07828_10,2.613,353.1177829,NA
DB07828_12,2.658,358.3140878,NA
DB07828_13,2.648,357.1593533,NA
DB07828_14,2.653,357.7367206,NA
DB07828_15,2.673,360.0461894,NA
DB07828_16,2.708,364.0877598,NA
DB07828_17,2.703,363.5103926,NA
DB07828_18,2.708,364.0877598,NA
DB07828_19,2.703,363.5103926,NA
DB07828_20,2.693,362.3556582,NA
DB07828_21,2.738,367.551963,NA
DB07828_22,2.743,368.1293303,NA
DB07828_23,2.803,375.0577367,NA
DB07828_24,2.823,377.3672055,NA
DB07828_29,2.713,364.665127,NA
DB07828_30,2.613,353.1177829,NA
DB07828_31,2.728,366.3972286,NA
DB07828_32,2.808,375.6351039,NA
DB07828_33,2.863,381.9861432,NA
DB07828_34,2.848,380.2540416,NA
DB07828_35,2.903,386.6050808,NA
DB07827_3,2.618,353.6951501,NA
DB07827_4,2.668,359.4688222,NA
DB07827_5,2.678,360.6235566,NA
DB07827_6,2.673,360.0461894,NA
DB07827_7,2.688,361.778291,NA
DB07827_8,2.668,359.4688222,NA
DB_SA_2_0,2.809,375.7505774,NA
DB_SA_0,2.819,376.9053118,NA
LH_0m,3.456,353.5335689,2
LH_100m,2.842,299.2932862,36
LH_120m,2.923,306.4487633,31
LH_140m,2.9,304.4169611,34
LH_160m,2.762,292.2261484,62
LH_183m,2.753,291.4310954,40
LH_20m,3.013,314.3992933,4
LH_210m,2.786,294.3462898,37
LH_220m,2.854,300.3533569,41
LH_230m,2.84,299.1166078,39
LH_240m,2.755,291.6077739,40
LH_260m,2.802,295.7597173,41
LH_40m,2.949,308.745583,4
LH_70m,2.92,306.1837456,9
CLMT0,1.888,215.0176678,11
CLMT10,1.93,218.7279152,NA
CLMT20,1.907,216.6961131,15
CLMT30,1.849,211.5724382,15
CLMT40,1.817,208.745583,18
CLMT50,1.804,207.5971731,15
CLMT60,1.807,207.8621908,NA
CLMT70,1.875,213.869258,NA
CLMT80,1.884,214.664311,NA
CLMT90,1.869,213.3392226,5
CLMT100,1.681,196.7314488,37
CLMT110,1.645,193.5512367,60
CLMT120,1.551,185.2473498,100
CLMT130,1.626,191.8727915,70
CLMT140,1.569,186.8374558,77
CLMT150,1.409,172.7031802,105
CLMT160,1.417,173.409894,100
CLMT170,1.457,176.9434629,100
CLMT180,1.44,175.4416961,100
