site,PLALAN,CALWES,COCSCU,COSPUS,FRAFAS,GYREXI,LUTMUT,MELMON,NAVCRT,NITPAL,OPEPAR,PARSUL,PINLAG,SCOTUM,SYNRUM,TRDE
LC0,7.96,0.00,6.19,0.00,0.00,0.00,0.88,0.00,0.00,4.42,0.00,0.88,0.00,0.00,0.00,0.00
LC100,1.03,0.00,2.69,1.86,1.03,1.24,8.68,0.41,0.83,1.24,3.31,4.34,0.00,0.00,0.00,0.00
LC110,0.00,0.00,3.19,1.72,0.98,0.98,8.09,1.23,1.23,4.41,9.31,3.43,0.25,0.00,0.00,0.00
LC120,0.83,0.00,2.29,0.42,0.00,0.00,1.25,0.00,2.92,3.75,11.46,1.67,0.00,0.00,0.00,0.00
LC130,0.38,0.00,0.76,2.10,0.19,0.57,3.05,0.76,1.91,2.29,4.39,2.67,0.00,0.00,0.00,0.00
LC140,0.00,0.00,3.14,2.72,0.63,0.63,3.35,8.37,0.84,2.09,13.81,5.02,0.00,0.00,0.00,0.00
LC150,0.18,0.00,1.09,2.37,0.00,0.91,3.28,0.00,0.18,2.19,1.09,1.46,0.18,0.00,0.00,0.00
LC160,0.00,0.00,0.61,2.23,0.61,1.42,2.43,0.00,0.00,2.23,7.09,3.85,0.00,0.00,0.00,0.00
LC170,0.00,0.00,2.98,6.27,1.57,1.41,4.55,1.10,0.00,1.88,5.49,5.49,0.00,0.00,0.00,0.00
LC180,0.00,0.00,1.15,0.92,1.15,0.00,1.38,0.46,0.23,0.92,4.13,0.69,0.00,0.00,0.00,0.00
LC190,0.38,0.00,1.92,3.07,0.58,0.38,4.80,0.00,0.19,1.92,6.91,1.54,0.00,0.00,0.00,0.00
LC20,49.65,0.00,0.70,6.99,0.00,0.00,0.35,0.35,0.00,2.10,0.00,0.00,0.00,0.00,4.55,0.00
LC200,0.00,0.00,3.11,0.87,1.38,0.69,5.36,0.00,0.35,1.56,22.66,4.50,0.00,0.00,0.00,0.00
LC210,0.00,0.00,1.37,0.00,0.00,2.16,2.75,0.00,3.14,2.75,12.94,3.92,0.00,0.00,0.00,0.00
LC220,0.00,0.00,6.12,1.65,0.94,0.24,6.35,0.00,0.00,2.35,27.53,8.24,0.00,0.00,0.00,0.00
LC230,0.00,0.00,0.00,0.47,0.00,1.41,3.28,0.00,0.00,3.51,28.10,6.79,0.00,0.00,0.00,0.00
LC240,0.00,0.00,5.45,0.00,0.00,0.00,0.00,0.00,2.27,2.05,42.27,3.64,0.00,0.00,0.00,0.00
LC250,0.00,0.00,2.68,0.00,0.00,0.00,0.00,0.00,0.45,1.34,29.69,6.92,0.00,0.00,0.00,0.00
LC260,1.03,0.00,2.26,0.00,0.00,0.00,0.00,0.00,0.21,1.85,25.46,4.31,0.00,0.00,0.00,0.00
LC30,44.40,0.00,0.39,1.16,0.00,0.00,0.00,0.00,0.00,4.63,0.00,0.00,0.00,0.00,17.76,0.00
LC40,51.14,0.00,0.68,1.83,1.14,0.00,0.00,1.37,0.00,2.74,0.00,0.00,0.00,0.00,11.19,0.00
LC50,25.91,0.00,0.52,6.74,0.26,0.00,1.55,0.26,0.00,2.85,0.52,3.63,0.00,0.00,1.04,0.00
LC60,8.25,0.00,0.49,10.68,0.00,0.00,4.37,0.00,0.00,0.97,0.49,7.77,5.83,0.00,0.49,0.00
LC70,0.88,0.00,0.44,2.65,0.44,0.00,2.65,0.66,0.22,2.21,0.44,5.09,0.44,0.00,0.00,0.00
LC80,1.17,0.00,1.36,1.36,0.19,0.78,4.86,2.92,2.53,1.36,2.72,2.33,0.58,0.00,0.00,0.00
LC90,0.00,0.00,0.38,1.54,0.58,2.31,4.62,2.69,3.08,1.73,1.15,1.92,0.00,0.00,0.00,0.00
NS10,0.00,0.00,1.01,0.00,2.83,0.00,1.21,0.00,1.21,1.41,32.73,1.01,0.00,0.00,0.00,0.00
NS130,0.00,0.00,0.21,0.00,0.85,0.00,4.44,0.00,2.96,0.21,7.82,0.85,0.00,0.00,0.00,0.00
NS50,0.00,0.00,1.11,0.00,1.74,0.00,0.79,0.00,0.48,0.63,19.65,3.49,0.48,0.32,0.00,0.00
NS90,0.00,0.00,4.62,0.00,3.25,0.00,0.17,0.00,0.00,0.85,17.26,5.47,0.00,0.17,0.00,0.00
LSI110,11.49,0.00,0.19,0.19,0.00,0.57,13.03,0.00,6.32,4.60,1.34,0.00,1.53,0.00,0.19,0.00
LSII20,1.06,0.00,0.00,9.11,0.00,1.27,3.39,0.42,0.85,5.72,0.00,0.42,10.38,0.00,0.00,0.00
LSI140,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,13.45,34.50,1.75,0.00,0.00,0.00,0.00
LSI170,0.00,0.00,0.00,0.00,0.00,11.52,5.02,0.00,0.37,17.10,0.00,3.72,0.19,0.00,0.00,0.00
LSII80,0.00,0.00,0.00,0.00,0.58,0.00,0.00,2.14,0.00,0.19,0.58,0.00,0.00,0.00,0.00,0.00
LSI222,0.00,0.00,0.21,0.00,0.21,10.04,5.02,0.00,1.05,21.97,0.63,1.26,0.00,0.21,0.00,0.00
BM6M,0.00,0.00,0.25,11.36,0.00,0.00,4.04,0.00,4.04,3.79,0.25,0.25,8.33,0.00,0.00,0.00
BMTC13,0.00,0.00,0.19,0.00,0.19,0.00,0.00,0.00,0.00,2.07,38.98,1.88,0.00,0.00,0.00,0.00
BMTC6M,0.00,0.00,0.00,0.00,0.58,0.00,0.19,0.00,0.00,1.73,47.12,3.46,0.00,0.00,0.00,0.00
DB07828_1,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,5.34,0.00,0.00
DB07828_2,2.02,0.34,0.00,0.00,0.00,0.00,0.00,0.00,2.02,0.00,0.00,3.37,0.00,10.10,0.00,0.00
DB07828_3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.33,0.00,1.33,0.00,0.00
DB07828_4,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.38,0.00,1.52,0.00,0.00
DB07828_5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,1.15,0.00,3.45,0.00,0.00
